Query Name,Execution Time,Plan time,Query hash
10a.sql,2280.044,24.264,-6651533820180303979
10b.sql,120.446,13.219,988535410010893112
10c.sql,12361.357,11.078,2494719406442254794
11a.sql,1281.896,33.970,-8754961486292191806
11b.sql,27.176,22.677,7102013096890644952
11c.sql,691.043,23.627,2333270921735776355
11d.sql,187.026,43.187,-5951735317690032369
12a.sql,623.780,27.892,-9026514954839072455
12b.sql,124.894,23.560,5632455736553151255
12c.sql,1821.155,19.793,6417179009749033666
13a.sql,2424.614,31.919,-1829334865866162189
13b.sql,985.861,30.684,4778871310081631647
13c.sql,913.780,30.247,4778871310081631647
13d.sql,8947.265,28.987,2434959201386717317
14a.sql,441.318,75.169,274192810335693858
14b.sql,204.858,27.472,-4506995590541967356
14c.sql,518.550,20.150,299267792258938541
15a.sql,591.253,63.898,-460740518707800565
15b.sql,43.634,56.120,-4209927756710409746
15c.sql,1701.265,49.473,4486446217020337985
15d.sql,1834.088,72.739,-321921298358758659
16a.sql,616.602,32.233,816913887554954199
16b.sql,52251.558,23.355,3350265702090035455
16c.sql,3958.049,33.685,607840843579539521
16d.sql,3031.422,25.067,816913887554954199
17a.sql,38561.034,15.263,-917204397272063480
17b.sql,12541.956,20.225,-5459870143170781696
17c.sql,10433.966,21.645,-5459870143170781696
17d.sql,11338.368,15.152,3199076743843001296
17e.sql,26654.999,16.064,-1944885556475480423
17f.sql,18964.784,20.334,3199076743843001296
18a.sql,4979.951,14.464,-3485514449383768787
18b.sql,264.176,32.440,-2924466581088026648
18c.sql,4708.664,13.655,1168076528610430802
19a.sql,4142.987,77.854,-2080431693778951356
19b.sql,641.682,58.818,-2216088972165640435
19c.sql,909.491,81.130,5068614643165729469
19d.sql,21647.253,80.737,7915967579038312663
1a.sql,154.995,5.856,-1116224040252844741
1b.sql,121.306,5.145,-4074774145614403639
1c.sql,126.820,5.350,946838174961328458
1d.sql,119.315,5.309,-6885312641126422993
20a.sql,4656.005,50.897,-2202723705874175045
20b.sql,1424.128,49.292,-310926232940389306
20c.sql,1000.870,46.637,-6387362809141986757
21a.sql,194.903,53.893,1038524182031953798
21b.sql,48.374,53.303,4184495773567888797
21c.sql,85.885,56.061,-7971004576533452411
22a.sql,561.280,112.072,-7110568913434103698
22b.sql,339.646,113.772,-7110568913434103698
22c.sql,1849.437,112.347,-5949668645089970217
22d.sql,3292.166,116.095,1524343667767028728
23a.sql,137.409,104.519,4445581228366823766
23b.sql,62.734,100.726,-7994933085961275538
23c.sql,200.071,108.579,1076878163750528468
24a.sql,602.028,209.304,6624959997497422723
24b.sql,108.458,193.489,1322643491423167220
25a.sql,1797.369,39.788,-5845388691995996195
25b.sql,280.255,41.942,-4983731566966487840
25c.sql,4602.024,42.091,9105500078934324812
26a.sql,1938.271,199.767,1025902338300761143
26b.sql,521.386,193.412,-3475685009172437784
26c.sql,2406.160,204.589,6841805925482126349
27a.sql,68.838,221.352,-5323664899700589841
27b.sql,28.819,209.949,2103229838344518222
27c.sql,103.280,215.122,-1723239386245354632
28a.sql,1052.525,245.244,-1573023350148659030
28b.sql,770.845,248.030,-3210595597316270705
28c.sql,616.261,243.707,5372730239182956237
29a.sql,46.304,313.381,1693774000992751456
29b.sql,26.102,294.497,-6571914703387389993
29c.sql,405.019,332.489,3549109824785540005
2a.sql,1548.158,7.223,7420183357700622221
2b.sql,1425.024,6.302,7420183357700622221
2c.sql,1464.444,6.863,7420183357700622221
2d.sql,1767.240,6.738,7420183357700622221
30a.sql,643.552,224.591,-6682106289455670140
30b.sql,334.302,213.978,7721649514993682563
30c.sql,4614.095,215.965,-1889760809355916724
31a.sql,4164.725,166.656,7519382914444524780
31b.sql,337.545,142.763,146477119612211947
31c.sql,6612.755,165.798,2399599952233934428
32a.sql,23.164,13.494,6225652705960457954
32b.sql,320.219,11.171,6225652705960457954
33a.sql,37.781,247.616,-3515944407635664271
33b.sql,24.720,241.510,-6846011022746249658
33c.sql,32.616,258.076,-2787191317670660246
3a.sql,195.376,7.738,5539820102114296223
3b.sql,126.656,7.675,2073429154321355728
3c.sql,367.109,7.795,8031722090065659855
4a.sql,191.037,6.321,-1950505845315524548
4b.sql,108.491,6.118,-1950505845315524548
4c.sql,192.177,6.160,-1950505845315524548
5a.sql,249.243,7.059,9106003620751043838
5b.sql,226.843,7.216,-3414057395363075461
5c.sql,282.980,7.179,5596001239447068866
6a.sql,37.903,6.456,3759324545287071861
6b.sql,180.900,7.176,-196995888411579451
6c.sql,18.462,7.952,3759324545287071861
6d.sql,3437.197,6.782,-196995888411579451
6e.sql,35.830,6.828,3759324545287071861
6f.sql,3598.328,6.638,-4608735958739764665
7a.sql,965.627,27.109,7100159318594498086
7b.sql,201.285,24.369,-298514962653462987
7c.sql,4525.873,28.529,-7678011977838348522
8a.sql,1322.364,14.823,99813637196177449
8b.sql,155.212,13.802,4954783290691726040
8c.sql,8227.898,12.925,-2444720784039749802
8d.sql,2915.751,13.613,-2444720784039749802
9a.sql,4175.814,22.024,-6747521538659772949
9b.sql,1351.457,21.336,316739818532851506
9c.sql,834.901,21.522,-180252288200201541
9d.sql,9700.031,24.403,7221379846823333251
